title,director,content_type,genres,nation,year,ratings_avg,movie_code
지상에서 영원으로,['프레드 진네만'],movies,"['로맨스', '전쟁', '드라마']",미국,1953,3.6,mWyJq6O
말 없는 사나이,['존 포드'],movies,"['코미디', '드라마', '로맨스', '서부극', '로맨틱코미디']",미국,1952,3.6,mJO1M8O
젊은이의 양지,['조지 스티븐스'],movies,"['범죄', '액션', '드라마', '로맨스']",미국,1951,3.5,m6dRrrd
이브의 모든 것,['조셉 L. 맨키위즈'],movies,['드라마'],미국,1950,3.7,m5aXvGd
세 부인,['조셉 L. 맨키위즈'],movies,['범죄'],미국,1949,3.8,mWyjJMO
시에라 마드레의 보석,['존 휴스턴'],movies,"['모험', '드라마', '서부극']",미국,1948,3.6,mObG8nd
신사협정,['엘리아 카잔'],movies,"['로맨스', '드라마']",미국,1947,2.8,mOgN7nW
우리 생애 최고의 해,['윌리엄 와일러'],movies,"['로맨스', '드라마']",미국,1946,3.3,m5rQGod
잃어버린 주말,['빌리 와일더'],movies,"['범죄', '액션', '드라마']",미국,1945,3.5,mO246N5
나의 길을 가련다,['레오 맥캐리'],movies,"['드라마', '코미디']",미국,1944,3.2,m5x3Eld
카사블랑카,['마이클 커티즈'],movies,"['전쟁', '로맨스', '드라마']",미국,1942,3.8,m5eJ0RW
미니버 부인,['윌리엄 와일러'],movies,"['로맨스', '전쟁', '드라마']",미국,1942,3.3,m5Z2Kx5
나의 계곡은 푸르렀다,['존 포드'],movies,"['로맨스', '드라마']",미국,1941,3.9,mOANGad
분노의 포도,['존 포드'],movies,['드라마'],미국,1940,3.8,mgOAGZ5
바람과 함께 사라지다,['빅터 플레밍'],movies,"['전쟁', '로맨스', '시대극', '드라마', '코미디', '역사']",미국,1939,4.0,mXOgMN5
우리들의 낙원,['프랑크 카프라'],movies,['로맨틱코미디'],미국,1938,3.5,mW4LXqW
이혼 소동,['레오 맥캐리'],movies,['로맨틱코미디'],미국,1937,3.7,mOoZpkW
천금을 마다한 사나이,['프랑크 카프라'],movies,['코미디'],미국,1936,3.5,mnOoMz5
밀고자,['존 포드'],movies,['드라마'],미국,1935,3.9,mdBpl2W
어느날 밤에 생긴 일,['프랑크 카프라'],movies,['로맨틱코미디'],미국,1934,3.7,mXOg7gO
캐벌케이드,['프랭크 로이드'],movies,['드라마'],미국,1933,2.9,m5mNrDW
배드 걸,['프랭크 보제즈'],movies,['드라마'],미국,1931,3.4,m5eEVM5
스키피,['노만 타로그'],movies,[],미국,1931,2.2,mWpyNKO
서부 전선 이상 없다,['루이스 마일스톤'],movies,"['전쟁', '드라마']",미국,1930,3.7,m5mll7d
